,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
77,인천,V3LN3,YUE XIANG,2022,4,최종,외항,입항,"1,971",2022-09-01 21:45,2022-09-02 15:50,2022-09-01 22:00,2022-09-02 00:18,기타,22JESPJ096I,MB2,03,내항 2부두 23선석,LANSHAN PT,FUNABASHI,일반화물선,,13.0,,Y,Y,,
78,부산,UHMI,ZEYA,2022,6,최종,외항,출항,"2,984",2022-09-01 23:22,2022-09-02 13:57,2022-09-02 13:00,2022-09-05 09:28,기타,22SASCN042E,MB7,03,7부두 73선석,VLADIVOSTOK,VLADIVOSTOK,일반화물선,,11.0,,Y,Y,,
79,부산,UHMI,ZEYA,2022,6,최종,외항,입항,"2,984",2022-09-01 23:22,2022-09-02 13:57,2022-09-02 00:00,2022-09-02 08:55,기타,22SASCS042I,MB7,03,7부두 73선석,VLADIVOSTOK,VLADIVOSTOK,일반화물선,,11.0,,Y,Y,,
80,인천,BBLR,HAI RUI DA,2022,11,최종,외항,출항,"1,997",2022-09-02 00:45,2022-09-03 05:00,2022-09-02 23:00,2022-09-14 11:42,기타,22GLSP0124E,MB4,00,내항 4부두 40선석,WEIFANG,DALIAN,일반화물선,,15.0,,Y,Y,,
81,인천,BBLR,HAI RUI DA,2022,11,최종,외항,입항,"1,997",2022-09-02 00:45,2022-09-03 05:00,2022-09-02 01:00,2022-09-02 09:47,기타,22GLSP0124I,MB4,01,내항 4부두 41선석,OCEAN DISTRICT,DALIAN,일반화물선,,15.0,,Y,Y,,
82,인천,102740,미래9호,2022,77,최종,내항,입항,"4,657",2022-09-02 03:05,2022-09-14 16:10,,2022-09-02 10:14,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,6.0,1.0,7.0,N,N,,
83,인천,102740,미래9호,2022,77,최종,내항,출항,"4,657",2022-09-02 03:05,2022-09-14 16:10,,2022-09-14 17:06,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,6.0,1.0,15.0,N,N,,
84,부산,140072,성우와이제이,2022,94,최종,내항,입항,"3,560",2022-09-02 06:43,2022-09-02 18:57,,2022-09-02 16:14,기타,,MB7,05,우암부두 75선석,제주,제주,일반화물선,6.0,8.0,10.0,N,N,,
85,부산,140072,성우와이제이,2022,94,최종,내항,출항,"3,560",2022-09-02 06:43,2022-09-02 18:57,,2022-09-05 09:13,기타,,MB7,05,우암부두 75선석,제주,제주,일반화물선,6.0,8.0,4.0,N,N,,
86,부산,D7ZW,ZENITH WIN,2022,1,최종,외항,입항,"2,223",2022-09-02 07:00,2022-09-08 18:00,2022-09-02 07:30,2022-09-13 09:47,기타,22DHBS1008I,MYF,09,선기조합-09(KJ),광양,인천,일반화물선,6.0,6.0,,Y,Y,,
87,부산,D7ZW,ZENITH WIN,2022,1,최종,외항,출항,"2,223",2022-09-02 07:00,2022-09-08 18:00,2022-09-08 17:30,2022-09-13 09:47,기타,22DHBS2008E,WAN,03,남외항 N-3박지,광양,인천,일반화물선,6.0,6.0,,N,N,,
88,인천,V3UE9,IZUMI,2022,4,최종,외항,입항,"1,460",2022-09-02 08:00,2022-09-02 16:20,2022-09-02 08:30,2022-09-02 13:29,기타,22ONESN167I,MBX,02,북항 동방부두 2선석,평택.당진,LANSHAN PT,일반화물선,,9.0,,Y,Y,,
89,인천,V3UE9,IZUMI,2022,4,최종,외항,출항,"1,460",2022-09-02 08:00,2022-09-02 16:20,2022-09-02 14:00,2022-09-02 17:22,기타,22ONESN167E,MBX,02,북항 동방부두 2선석,평택.당진,LANSHAN PT,일반화물선,,9.0,,Y,Y,,
90,인천,190001,DAEHO SEJONG,2022,5,최종,내항,입항,"1,715",2022-09-02 08:50,2022-09-02 23:20,,2022-09-06 19:46,기타,,MDU,03,영흥도 영흥화력3돌핀,당진,울산,일반화물선,5.0,4.0,,N,N,,
91,인천,190001,DAEHO SEJONG,2022,5,최종,내항,출항,"1,715",2022-09-02 08:50,2022-09-02 23:20,,2022-09-06 19:46,기타,,MDU,03,영흥도 영흥화력3돌핀,당진,울산,일반화물선,5.0,4.0,,N,N,,
92,인천,9LU2858,PU SHUN,2022,2,최종,외항,입항,"4,996",2022-09-02 09:20,2022-09-04 12:00,2022-09-02 10:00,2022-09-02 13:29,기타,22ONESN166I,MBJ,01,북항 동국제강부두 1선석,OCEAN DISTRICT,KAWASAKI,일반화물선,,13.0,,Y,Y,,
93,인천,9LU2858,PU SHUN,2022,2,최종,외항,출항,"4,996",2022-09-02 09:20,2022-09-04 12:00,2022-09-04 10:30,2022-09-04 14:52,기타,22ONESN166E,MBJ,01,북항 동국제강부두 1선석,SHIDAO PT,KAWASAKI,일반화물선,,13.0,,Y,Y,,
