VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
5b1e3229-28ed-33ff-b565-68349c8001d1,SITC TOYOHASHI,477209100,9834014,VRSB9,CONTAINER,141.0,25.0,115,26,19,6,9967
5b3fba10-4348-370e-a32e-6785cf04e26c,COSCOSHIPPING ORCHID,477286200,9785770,VRSK7,CONTAINER,366.0,48.0,142,224,28,20,143179
5b611d3c-3fa4-3e4b-ae9d-d63a102dda29,PACIFIC QINGDAO,636018863,9498688,D5RS8,CONTAINER,129.0,20.0,117,12,10,10,7464
5b76bb6b-e377-383d-bf60-ad419ea4f2c6,JT GLORY,563125500,9357858,9V7046,CONTAINER,176.0,28.0,157,19,9,19,18327
5b9a5ebc-8167-311a-b7b7-5d41643116d1,ZIM MOUNT EVEREST,477871400,9931109,VRUX8,CONTAINER,366.0,51.0,111,255,21,30,152204
5ba1a6e1-c870-34ee-9b7b-3f6e818a1b37,AXEL MAERSK,220187000,9260419,OUUY2,CONTAINER,352.0,43.0,249,103,21,22,93496
5bb313e3-c709-3ad3-b90e-6e043fb0e33d,SEASPAN BRIGHTNESS,477518600,9685346,VRNL9,CONTAINER,337.0,48.0,244,93,31,17,113042
5bef8615-b765-3082-9054-104c4e05e907,HUI DA 9,352978135,9714941,3E3964,CONTAINER,180.0,32.0,151,29,24,8,28364
5c106d93-ad48-3eae-975a-0ba55b0837a9,MAERSK SARAT,636017102,9732591,D5JH6,CONTAINER,300.0,48.0,126,174,30,18,93702
5c4836cd-5a13-3c25-97e5-6d1ce66f895c,RELIANCE,309358000,9214927,DUA3887,CONTAINER,136.0,23.0,123,13,20,3,9141
5c6b7e24-d120-3050-b8e7-36b05e950c7a,XIN ZHANG ZHOU,413170000,9328601,BPNF,CONTAINER,263.0,32.0,195,68,22,10,41482
5cd3c087-f98b-3795-a688-1ee2a43e4daf,OOCL BRISBANE,477541100,9445502,VRFJ6,CONTAINER,260.0,32.0,191,69,11,21,40168
5d1b3557-61ef-39d6-a904-b3361c69972c,PACIFIC CARRIER,563158400,9378943,9V7922,CONTAINER,147.0,23.0,133,14,10,13,9940
5d2747e0-03b0-3d33-824d-f10c8f732c4d,LOA HARMONY,538090625,9734214,V7A5679,CONTAINER,160.0,24.0,141,19,10,14,15832
5d7cb810-218d-3297-a7d9-9d809bd9315c,COSCO SHIPPING SEINE,477057100,9731949,VRQV3,CONTAINER,300.0,48.0,110,190,16,32,94623
5d9fb676-1b21-34d6-88c7-31381fc20dd4,CNC BANGKOK,229334000,9706279,9HA5470,CONTAINER,172.0,27.0,155,17,15,12,17907
5dd58687-b819-38f7-9b1a-999a80919dfa,SCO SHANGHAI,538009457,9352688,V7A4772,CONTAINER,134.0,20.0,91,43,10,10,6323
5e0fc7e2-64ab-3a49-9b69-24028d93493f,OTANA BHUM,565696000,9338319,9VJD9,CONTAINER,148.0,23.0,134,14,19,4,9924
5e27f453-7817-37f8-a757-4dd2a0d1d28b,DONGJIN CONTINENTAL,441283000,9891933,D7VD,CONTAINER,141.0,25.0,112,29,18,7,9946
5e91d48f-3ee3-35c9-9441-d6b72b8d5bf8,WAN HAI 360,563181600,9930399,9V7392,CONTAINER,204.0,35.0,143,61,21,14,30776
5ea4c43d-d3f3-3524-927d-37bb886ec172,MSC MICHELLE,636020599,9897016,D5ZY4,CONTAINER,400.0,61.0,128,272,34,27,228750
5ebf2e35-2460-3f70-b1f0-92e117b0a1f7,BIENDONG FORTUNE,574343000,9336323.0,3WNH,GENERAL_CARGO,124.0,19.0,110.0,14.0,9.0,10.0,5725.0
5f38b518-d87c-33d7-b504-823979ecdd82,HAO DA 222,413464760,0.0,BYAD,GENERAL_CARGO,80.0,16.0,70.0,10.0,8.0,8.0,
